DataSourceName	DataSourceCode	StationID	ActualStationID	Latitude_DD	Longitude_DD	SampleDate	SampleTime	ActivityDepth	ActivityDepthUnit	Characteristic	ResultValue	ResultUnit	ValueQualifier	ResultComment	WaterbodyID	WaterbodyName
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	02/19/1974	00:00:00			Nitrogen	1840.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	08/12/1974	00:00:00			Nitrogen	2350.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	09/10/1974	00:00:00			Nitrogen	1950.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020009       		26.56027800	-81.93000000	09/10/1974	00:00:00			Nitrogen	1950.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020019       		26.72305600	-81.69083300	09/10/1974	00:00:00			Nitrogen	1890.00000000	ug/l		FCCDR Calculated	300081	Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020110       		26.70055600	-81.78111100	09/10/1974	00:00:00			Nitrogen	1590.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020019       		26.72305600	-81.69083300	03/10/1975	00:00:00			Nitrogen	1050.00000000	ug/l		FCCDR Calculated	300081	Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	03/03/1975	00:00:00			Nitrogen	1730.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020110       		26.70055600	-81.78111100	03/31/1975	00:00:00			Nitrogen	930.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	04/14/1975	00:00:00			Nitrogen	1340.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	02/10/1975	00:00:00			Nitrogen	1000.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	12/16/1974	00:00:00			Nitrogen	2060.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020009       		26.56027800	-81.93000000	03/10/1975	00:00:00			Nitrogen	280.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	06/23/1975	00:00:00			Nitrogen	1330.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020009       		26.56027800	-81.93000000	09/02/1975	00:00:00			Nitrogen	930.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	05/19/1975	00:00:00			Nitrogen	1100.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020019       		26.72305600	-81.69083300	09/02/1975	00:00:00			Nitrogen	1060.00000000	ug/l		FCCDR Calculated	300081	Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020002       		26.71555600	-81.76138900	09/02/1975	00:00:00			Nitrogen	870.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020110       		26.70055600	-81.78111100	10/27/1975	00:00:00			Nitrogen	890.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020009       		26.56027800	-81.93000000	07/26/1976	00:00:00			Nitrogen	190.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020001       		26.65027800	-81.86944400	07/26/1976	00:00:00			Nitrogen	1290.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
FDEP Historic Data from Legacy STORET	LEGACYSTORET_21FLA   	28020111       		26.69527800	-81.81555600	07/26/1976	00:00:00			Nitrogen	1210.00000000	ug/l		FCCDR Calculated	330009	Tidal Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	CAL 04		26.68118190	-81.83730330	10/06/1994	00:00:00	0.5	m	Nitrogen	1449.00000000	ug/l		Water Institute Calculated	330009	Tidal Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	CAL 04		26.68118190	-81.83730330	03/14/1995	00:00:00	0.5	m	Nitrogen	1245.00000000	ug/l		Water Institute Calculated	330009	Tidal Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S78		26.78972220	-81.30277780	11/07/1995	00:00:00	0.5	m	Nitrogen	1166.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S78		26.78972220	-81.30277780	01/17/1990	00:00:00	0.5	m	Nitrogen	1064.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	09/25/1990	00:00:00	0.5	m	Nitrogen	2639.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	03/12/1991	00:00:00	0.5	m	Nitrogen	1759.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S79		26.72395690	-81.69841110	11/07/1995	00:00:00	0.5	m	Nitrogen	926.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	CAL 08		26.58090890	-81.94564000	12/04/1995	00:00:00	0.5	m	Nitrogen	1168.00000000	ug/l		Water Institute Calculated	330009	Tidal Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S79		26.72395690	-81.69841110	07/15/1996	00:00:00	0.5	m	Nitrogen	1448.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S79		26.72395690	-81.69841110	02/04/1992	00:00:00	0.5	m	Nitrogen	1059.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	04/22/1992	00:00:00	0.5	m	Nitrogen	1522.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S79		26.72395690	-81.69841110	09/23/1992	00:00:00	0.5	m	Nitrogen	1847.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	03/22/1993	00:00:00	0.5	m	Nitrogen	1257.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	HB03		26.63618420	-81.90797190	07/10/1996	00:00:00	0.5	m	Nitrogen	1115.00000000	ug/l		Water Institute Calculated	330009	Tidal Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	08/13/1996	00:00:00	0.5	m	Nitrogen	1267.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S79		26.72395690	-81.69841110	09/18/1996	00:00:00	0.5	m	Nitrogen	1446.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S78		26.78972220	-81.30277780	11/18/1996	00:00:00	0.5	m	Nitrogen	1510.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S79		26.72395690	-81.69841110	05/08/1991	00:00:00	0.5	m	Nitrogen	1283.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	08/28/1991	00:00:00	0.5	m	Nitrogen	2269.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	05/21/1992	00:00:00	0.5	m	Nitrogen	1186.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	11/19/1991	00:00:00	0.5	m	Nitrogen	1673.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S79		26.72395690	-81.69841110	03/03/1993	00:00:00	0.5	m	Nitrogen	1243.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S79		26.72395690	-81.69841110	11/09/1992	00:00:00	0.5	m	Nitrogen	993.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S78		26.78972220	-81.30277780	08/31/1993	00:00:00	0.5	m	Nitrogen	1636.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	03/26/1990	00:00:00	0.5	m	Nitrogen	608.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S78		26.78972220	-81.30277780	09/18/1996	00:00:00	0.5	m	Nitrogen	1524.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	02/24/1997	00:00:00	0.5	m	Nitrogen	1296.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
SFWMD Water Quality Sampling Data	STORET_21FLSFWM	S77		26.83916670	-81.08527780	05/19/1997	00:00:00	0.5	m	Nitrogen	1635.00000000	ug/l		Water Institute Calculated	300081	Caloosahatchee River
