DataSourceName	DataSourceCode	StationID	ActualStationID	Latitude_DD	Longitude_DD	SampleDate	SampleTime	ActivityDepth	ActivityDepthUnit	Characteristic	ResultValue	ResultUnit	ValueQualifier	ResultComment	WaterbodyID	WaterbodyName
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	395		26.54227637	-81.94166485	10/24/2002	00:00:00	0		Phosphorus as P	50.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	395		26.54227637	-81.94166485	10/24/2002	00:00:00	0		Phosphorus as P	60.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	395		26.54227637	-81.94166485	11/17/2004	00:00:00	0		Phosphorus as P	63.00000000	ug/l		I	330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	396		26.54227719	-81.92499922	02/16/2005	00:00:00	0		Phosphorus as P	59.00000000	ug/l		I	330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	396		26.54227719	-81.92499922	12/17/2003	00:00:00	0		Phosphorus as P	76.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	403		26.55894433	-81.94166577	07/13/2004	00:00:00	0		Phosphorus as P	143.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	403		26.55894433	-81.94166577	07/23/2003	00:00:00	0		Phosphorus as P	109.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	403		26.55894433	-81.94166577	07/23/2003	00:00:00	0		Phosphorus as P	118.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	403		26.55894433	-81.94166577	11/17/2004	00:00:00	0		Phosphorus as P	59.00000000	ug/l		I	330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	403		26.55894433	-81.94166577	11/21/2002	00:00:00	0		Phosphorus as P	80.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	411		26.57561216	-81.94166661	07/18/2005	00:00:00	0		Phosphorus as P	120.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	411		26.57561216	-81.94166661	10/12/2004	00:00:00	0		Phosphorus as P	85.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	411		26.57561216	-81.94166661	10/24/2002	00:00:00	0		Phosphorus as P	50.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	411		26.57561216	-81.94166661	12/17/2003	00:00:00	0		Phosphorus as P	60.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	411		26.57561216	-81.94166661	12/17/2003	00:00:00	0		Phosphorus as P	62.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	412		26.57561301	-81.92500103	05/09/2005	00:00:00	0		Phosphorus as P	140.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	412		26.57561301	-81.92500103	06/15/2004	00:00:00	0		Phosphorus as P	95.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	412		26.57561301	-81.92500103	09/07/2004	00:00:00	0		Phosphorus as P	126.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	412		26.57561301	-81.92500103	11/17/2004	00:00:00	0		Phosphorus as P	66.00000000	ug/l		I	330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	413		26.57561382	-81.90833542	04/09/2003	00:00:00	0		Phosphorus as P	125.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	413		26.57561382	-81.90833542	05/30/2002	00:00:00	0		Phosphorus as P	70.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	413		26.57561382	-81.90833542	08/24/2004	00:00:00	0		Phosphorus as P	181.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	413		26.57561382	-81.90833542	12/07/2004	00:00:00	0		Phosphorus as P	80.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	413		26.57561382	-81.90833542	12/17/2003	00:00:00	0		Phosphorus as P	57.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	414		26.57561460	-81.89166984	01/25/2005	00:00:00	0		Phosphorus as P	56.00000000	ug/l		I	330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	417		26.59228092	-81.92500202	04/19/2005	00:00:00	0		Phosphorus as P	130.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	417		26.59228092	-81.92500202	05/09/2005	00:00:00	0		Phosphorus as P	140.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	418		26.59228173	-81.90833635	01/13/2004	00:00:00	0		Phosphorus as P	61.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	418		26.59228173	-81.90833635	02/11/2004	00:00:00	0		Phosphorus as P	54.00000000	ug/l			330009	Tidal Caloosahatchee River
Coastal Charlotte Harbor Monitoring Network (CCHMN) - Tidal Caloosahatchee River	STORET_CHNEPTCR	418		26.59228173	-81.90833635	06/27/2002	00:00:00	0		Phosphorus as P	190.00000000	ug/l			330009	Tidal Caloosahatchee River
